ID,Department,Office,Rating
U2F26,Finance,New Delhi,3.4
U2M61,Marketing,New Delhi,3.9
U1S15,Sales,New Delhi,2.8
U1H87,HR,Mumbai,2.1
U1S51,Sales,New Delhi,4.6
U1H78,HR,New Delhi,3.8
U3M65,Marketing,New Delhi,5
U3M44,Marketing,Bangalore,2.1
U3S75,Sales,Bangalore,4.3
U2H84,HR,Bangalore,4.3
U2S84,Sales,Mumbai,3.6
U1S50,Sales,Mumbai,4.7
U2F25,Finance,New Delhi,4.4
U1S75,Sales,Bangalore,3
U1H39,HR,New Delhi,4.2
U2F53,Finance,Bangalore,2.7
U1F53,Finance,Bangalore,3.7
U2S99,Sales,New Delhi,3.6
U3F41,Finance,New Delhi,4.9
U1F28,Finance,Bangalore,3.2
U2F43,Finance,Mumbai,3.8
U2H45,HR,New Delhi,3.7
U2H48,HR,Bangalore,2.8
U2S27,Sales,New Delhi,
U3S93,Sales,Bangalore,3.6
U1F15,Finance,Bangalore,3.3
U1M67,Marketing,Bangalore,2.7
U3H94,HR,New Delhi,2.5
U3M49,Marketing,New Delhi,2.1
U2S69,Sales,Mumbai,4.7
U3M39,Marketing,Mumbai,
U1F14,Finance,Bangalore,2.9
U3F29,Finance,Mumbai,3.7
U2S18,Sales,Bangalore,3.2
U1F59,Finance,Mumbai,4.1
U3F66,Finance,Bangalore,4.7
U3H88,HR,Bangalore,2.7
U1M15,Marketing,Bangalore,4.9
U3F52,Finance,Bangalore,2.4
U1S77,Sales,Bangalore,3.1
U3S74,Sales,Mumbai,4.8
U1M45,Marketing,Bangalore,4.7
U1S42,Sales,Mumbai,2.5
U2S40,Sales,Bangalore,4.6
U3F39,Finance,Bangalore,4.1
U1M82,Marketing,New Delhi,3.3
U2H65,HR,New Delhi,3.6
U3H92,HR,New Delhi,4.4
U1H42,HR,Mumbai,4.8
U1S23,Sales,New Delhi,3.3
U3S24,Sales,New Delhi,4.4
U1H73,HR,Bangalore,4.2
U1M58,Marketing,Bangalore,4
U2F89,Finance,New Delhi,4.4
U3F77,Finance,Bangalore,2.6
U1H93,HR,Mumbai,3.1
U1M79,Marketing,Bangalore,3.2
U3H69,HR,Bangalore,3.7
U2S80,Sales,Bangalore,3
U2S89,Sales,Bangalore,4.4
U2F14,Finance,Bangalore,2.1
U2F36,Finance,Bangalore,3.8
U1H97,HR,Bangalore,3.7
U3H31,HR,Bangalore,3.3
U3H57,HR,Bangalore,4.4
U1M70,Marketing,Bangalore,2.6
U3H77,HR,Bangalore,3.1
U2H22,HR,Bangalore,4.8
U3M80,Marketing,Mumbai,3.5
U2H88,HR,Mumbai,3.7
U3M67,Marketing,Mumbai,3.5
U3M79,Marketing,New Delhi,2.8
U3F87,Finance,New Delhi,3.4
U3F43,Finance,Mumbai,2.9
U1H81,HR,Bangalore,4.6
U2M41,Marketing,Bangalore,4.4
U2H71,HR,New Delhi,4.9
U1S60,Sales,Bangalore,5
U2H60,HR,Bangalore,5
U3H76,HR,Mumbai,3.1
U1H56,HR,Bangalore,2.6
U3H71,HR,Bangalore,3.1
U3M99,Marketing,Mumbai,3.8
U1S38,Sales,Mumbai,4.7
U1M89,Marketing,Mumbai,2.1
U2H30,HR,Bangalore,4.2
U3S27,Sales,Bangalore,2.9
U1F99,Finance,Mumbai,4.4
U1F56,Finance,Mumbai,4.8
U2H91,HR,Bangalore,3
U2F58,Finance,Mumbai,3.3
U2H15,HR,Mumbai,4.8
U3F50,Finance,Mumbai,
U3S43,Sales,New Delhi,2.4
U3M23,Marketing,Mumbai,2.5
U1H12,HR,Bangalore,4.6
U1M52,Marketing,New Delhi,2.2
U3M92,Marketing,New Delhi,2.2
U1H49,HR,Mumbai,2.2
U3M84,Marketing,Bangalore,3.2
U1F88,Finance,New Delhi,4.5
U1H61,HR,New Delhi,2.5
U1M61,Marketing,Bangalore,4.1
U1F97,Finance,Bangalore,2.2
U1H57,HR,New Delhi,4
U2F17,Finance,Bangalore,2.3
U3F37,Finance,Bangalore,4
U2S92,Sales,New Delhi,4.6
U1M25,Marketing,Mumbai,2.7
U2F63,Finance,New Delhi,3.9
U3H61,HR,Mumbai,3.2
U1M53,Marketing,Bangalore,3.2
U3F25,Finance,Bangalore,4.6
U1H17,HR,Mumbai,5
U1M18,Marketing,Mumbai,4.1
U2S38,Sales,Bangalore,3
U2H49,HR,New Delhi,4
U3H96,HR,New Delhi,4.2
U3M72,Marketing,Bangalore,4.9
U2F57,Finance,Bangalore,2.7
U1M95,Marketing,Mumbai,2.6
U1F45,Finance,New Delhi,4.2
U3M12,Marketing,New Delhi,4.9
U1M86,Marketing,Bangalore,2.2
U2S23,Sales,Bangalore,2.9
U3F63,Finance,New Delhi,4.4
U2H68,HR,New Delhi,4.9
U2S10,Sales,Mumbai,3.3
U1H43,HR,Bangalore,4.4
U1M97,Marketing,New Delhi,3.9
U3M93,Marketing,Bangalore,3.5
U3H29,HR,Bangalore,3.6
U2F66,Finance,Bangalore,2.6
U3M24,Marketing,Bangalore,4
U2F94,Finance,New Delhi,2.2
U1H59,HR,Mumbai,4.4
U2M27,Marketing,Mumbai,4.7
U3S19,Sales,Bangalore,3.2
U3F26,Finance,Mumbai,4.2
U1S40,Sales,Bangalore,3.8
U3S23,Sales,New Delhi,3.5
U3S69,Sales,Mumbai,2.7
U1S69,Sales,Bangalore,2.9
U1S93,Sales,Mumbai,2.6
U3S54,Sales,New Delhi,3.8
U1H24,HR,Mumbai,4.8
U2H93,HR,Bangalore,3.9
U1M11,Marketing,New Delhi,2.3
U2F20,Finance,Mumbai,2.9
U1F19,Finance,Mumbai,4.2
U1F98,Finance,Bangalore,2.2
U2M68,Marketing,New Delhi,3.6
U2F62,Finance,New Delhi,2.8
U2S76,Sales,New Delhi,2.1
U1H53,HR,Mumbai,2.1
U2H97,HR,New Delhi,4.3
U1M27,Marketing,Bangalore,3.3
U3S41,Sales,Mumbai,2.4
U2F79,Finance,Mumbai,3.8
U3S97,Sales,New Delhi,4.3
U3S25,Sales,Bangalore,2.5
U1F16,Finance,Mumbai,3.5
U1S96,Sales,Bangalore,2.2
U2F19,Finance,New Delhi,4.2
U2H80,HR,New Delhi,4.1
U2F55,Finance,Bangalore,4
U2M84,Marketing,Mumbai,3.5
U1F34,Finance,New Delhi,3.1
U2S32,Sales,Bangalore,2.6
U3S52,Sales,Mumbai,4.9
